id,rank,polish,russian,part_of_speech,example_polish_1,example_russian_1,example_polish_2,example_russian_2,ukrainian,example_ukrainian_1,example_ukrainian_2
1,1,możliwość,возможность,noun,Mam możliwość pracy zdalnej trzy dni w tygodniu.,У меня есть возможность работать удалённо три дня в неделю.,Ta decyzja daje nam więcej możliwości.,Это решение даёт нам больше возможностей.,можливість,Маю можливість працювати віддалено три дні на тиждень.,Це рішення дає нам більше можливостей.
2,2,doświadczenie,опыт,noun,Mam doświadczenie w pracy z klientami.,У меня есть опыт работы с клиентами.,To doświadczenie bardzo mi pomogło.,Этот опыт мне очень помог.,досвід,Маю досвід роботи з клієнтами.,Цей досвід дуже мені допоміг.
3,3,obowiązek,обязанность,noun,To jest mój obowiązek jako pracownika.,Это моя обязанность как сотрудника.,Rodzice mają obowiązek dbać o dziecko.,Родители обязаны заботиться о ребёнке.,обов'язок,Це мій обов'язок як працівника.,Батьки мають обов'язок дбати про дитину.
4,4,odpowiedzialność,ответственность,noun,To duża odpowiedzialność.,Это большая ответственность.,Biorę odpowiedzialność za ten projekt.,Я беру ответственность за этот проект.,відповідальність,Це велика відповідальність.,Беру відповідальність за цей проєкт.
5,5,osiągnąć,достичь,verb,Chcę osiągnąć lepszy poziom języka polskiego.,Я хочу достичь лучшего уровня польского языка.,Firma osiągnęła dobry wynik.,Компания достигла хорошего результата.,досягти,Хочу досягти кращого рівня польської мови.,Компанія досягла гарного результату.
6,6,zależeć,зависеть,verb,Wszystko zależy od decyzji urzędu.,Всё зависит от решения учреждения.,Cena zależy od wielu czynników.,Цена зависит от многих факторов.,залежати,Все залежить від рішення установи.,Ціна залежить від багатьох факторів.
7,7,dotyczyć,"касаться, относиться к",verb,Ta informacja dotyczy wszystkich pracowników.,Эта информация касается всех сотрудников.,Pytanie dotyczy mojego pobytu w Polsce.,Вопрос касается моего пребывания в Польше.,стосуватися,Ця інформація стосується всіх працівників.,Питання стосується мого перебування в Польщі.
8,8,załatwić,"уладить, решить вопрос",verb,Muszę załatwić kilka spraw w urzędzie.,Мне нужно решить несколько дел в учреждении.,Udało mi się załatwić dokumenty.,Мне удалось оформить документы.,владнати,Маю владнати кілька справ в установі.,Мені вдалося владнати документи.
9,9,dochód,доход,noun,Muszę podać miesięczny dochód.,Я должен указать месячный доход.,Bank sprawdza dochód klienta.,Банк проверяет доход клиента.,дохід,Маю вказати місячний дохід.,Банк перевіряє дохід клієнта.
10,10,zatrudnienie,трудоустройство,noun,Szukam stabilnego zatrudnienia.,Я ищу стабильное трудоустройство.,Warunki zatrudnienia są opisane w umowie.,Условия трудоустройства описаны в договоре.,працевлаштування,Шукаю стабільного працевлаштування.,Умови працевлаштування описані в договорі.
11,11,świadczenie,"пособие, выплата",noun,Rodzina otrzymuje świadczenie na dziecko.,Семья получает пособие на ребёнка.,"Aby otrzymać świadczenie, trzeba złożyć wniosek.","Чтобы получить пособие, нужно подать заявление.",виплата,Сім'я отримує виплату на дитину.,"Щоб отримати виплату, потрібно подати заяву."
12,12,wniosek,заявление,noun,Złożyłem wniosek o kartę pobytu.,Я подал заявление на карту побыта.,Wniosek trzeba podpisać na ostatniej stronie.,Заявление нужно подписать на последней странице.,заява,Подав заяву на карту побиту.,Заяву потрібно підписати на останній сторінці.
13,13,pozwolenie,разрешение,noun,Potrzebuję pozwolenia na pracę.,Мне нужно разрешение на работу.,Nie dostałem jeszcze pozwolenia.,Я ещё не получил разрешение.,дозвіл,Потребую дозволу на роботу.,Ще не отримав дозволу.
14,14,warunek,условие,noun,To ważny warunek umowy.,Это важное условие договора.,Musisz spełnić wszystkie warunki.,Ты должен выполнить все условия.,умова,Це важлива умова договору.,Маєш виконати всі умови.
15,15,korzyść,"польза, выгода",noun,To rozwiązanie ma wiele korzyści.,У этого решения много преимуществ.,Nie widzę w tym żadnej korzyści.,Я не вижу в этом никакой пользы.,вигода,Це рішення має багато вигод.,Не бачу в цьому жодної вигоди.
16,16,wpływ,влияние,noun,Ta decyzja ma wpływ na nasze życie.,Это решение влияет на нашу жизнь.,Stres ma duży wpływ na zdrowie.,Стресс сильно влияет на здоровье.,вплив,Це рішення має вплив на наше життя.,Стрес має великий вплив на здоров'я.
17,17,zachowanie,поведение,noun,Jego zachowanie było nieodpowiednie.,Его поведение было неподходящим.,Dzieci często zmieniają zachowanie w nowym miejscu.,Дети часто меняют поведение в новом месте.,поведінка,Його поведінка була неналежною.,Діти часто змінюють поведінку в новому місці.
18,18,stosunek,отношение,noun,Mam pozytywny stosunek do tej zmiany.,У меня положительное отношение к этому изменению.,Jego stosunek do pracy jest bardzo odpowiedzialny.,Его отношение к работе очень ответственное.,ставлення,Маю позитивне ставлення до цієї зміни.,Його ставлення до роботи дуже відповідальне.
19,19,kontaktować się,связываться,verb,Proszę kontaktować się z nami mailowo.,"Пожалуйста, связывайтесь с нами по электронной почте.",Muszę skontaktować się z lekarzem.,Мне нужно связаться с врачом.,зв'язуватися,Просимо зв'язуватися з нами електронною поштою.,Маю зв'язатися з лікарем.
20,20,uzyskać,"получить, добиться",verb,Chcę uzyskać więcej informacji.,Я хочу получить больше информации.,Udało mi się uzyskać zgodę.,Мне удалось получить согласие.,отримати,Хочу отримати більше інформації.,Мені вдалося отримати згоду.
21,21,przeprowadzić,провести,verb,Przeprowadziliśmy analizę wyników za ostatni miesiąc.,Мы провели анализ результатов за последний месяц.,Firma przeprowadziła szkolenie dla nowych pracowników.,Компания провела обучение для новых сотрудников.,провести,Ми провели аналіз результатів за останній місяць.,Компанія провела навчання для нових співробітників.
22,22,rozwiązanie,решение,noun,To rozwiązanie pozwoli zaoszczędzić dużo czasu.,Это решение позволит сэкономить много времени.,Szukamy najlepszego rozwiązania tego problemu.,Мы ищем лучшее решение этой проблемы.,рішення,Це рішення дозволить заощадити багато часу.,Ми шукаємо найкраще рішення цієї проблеми.
23,23,ograniczenie,ограничение,noun,Nowe ograniczenia weszły w życie od poniedziałku.,Новые ограничения вступили в силу с понедельника.,Każdy system ma swoje ograniczenia.,У каждой системы есть свои ограничения.,обмеження,Нові обмеження набули чинності з понеділка.,Кожна система має свої обмеження.
