id,rank,polish,russian,part_of_speech,example_polish_1,example_russian_1,example_polish_2,example_russian_2
1,1,możliwość,возможность,noun,Mam możliwość pracy zdalnej trzy dni w tygodniu.,У меня есть возможность работать удалённо три дня в неделю.,Ta decyzja daje nam więcej możliwości.,Это решение даёт нам больше возможностей.
2,2,doświadczenie,опыт,noun,Mam doświadczenie w pracy z klientami.,У меня есть опыт работы с клиентами.,To doświadczenie bardzo mi pomogło.,Этот опыт мне очень помог.
3,3,obowiązek,обязанность,noun,To jest mój obowiązek jako pracownika.,Это моя обязанность как сотрудника.,Rodzice mają obowiązek dbać o dziecko.,Родители обязаны заботиться о ребёнке.
4,4,odpowiedzialność,ответственность,noun,To duża odpowiedzialność.,Это большая ответственность.,Biorę odpowiedzialność za ten projekt.,Я беру ответственность за этот проект.
5,5,osiągnąć,достичь,verb,Chcę osiągnąć lepszy poziom języka polskiego.,Я хочу достичь лучшего уровня польского языка.,Firma osiągnęła dobry wynik.,Компания достигла хорошего результата.
6,6,zależeć,зависеть,verb,Wszystko zależy od decyzji urzędu.,Всё зависит от решения учреждения.,Cena zależy od wielu czynników.,Цена зависит от многих факторов.
7,7,dotyczyć,"касаться, относиться к",verb,Ta informacja dotyczy wszystkich pracowników.,Эта информация касается всех сотрудников.,Pytanie dotyczy mojego pobytu w Polsce.,Вопрос касается моего пребывания в Польше.
8,8,załatwić,"уладить, решить вопрос",verb,Muszę załatwić kilka spraw w urzędzie.,Мне нужно решить несколько дел в учреждении.,Udało mi się załatwić dokumenty.,Мне удалось оформить документы.
9,9,dochód,доход,noun,Muszę podać miesięczny dochód.,Я должен указать месячный доход.,Bank sprawdza dochód klienta.,Банк проверяет доход клиента.
10,10,zatrudnienie,трудоустройство,noun,Szukam stabilnego zatrudnienia.,Я ищу стабильное трудоустройство.,Warunki zatrudnienia są opisane w umowie.,Условия трудоустройства описаны в договоре.
11,11,świadczenie,"пособие, выплата",noun,Rodzina otrzymuje świadczenie na dziecko.,Семья получает пособие на ребёнка.,"Aby otrzymać świadczenie, trzeba złożyć wniosek.","Чтобы получить пособие, нужно подать заявление."
12,12,wniosek,заявление,noun,Złożyłem wniosek o kartę pobytu.,Я подал заявление на карту побыта.,Wniosek trzeba podpisać na ostatniej stronie.,Заявление нужно подписать на последней странице.
13,13,pozwolenie,разрешение,noun,Potrzebuję pozwolenia na pracę.,Мне нужно разрешение на работу.,Nie dostałem jeszcze pozwolenia.,Я ещё не получил разрешение.
14,14,warunek,условие,noun,To ważny warunek umowy.,Это важное условие договора.,Musisz spełnić wszystkie warunki.,Ты должен выполнить все условия.
15,15,korzyść,"польза, выгода",noun,To rozwiązanie ma wiele korzyści.,У этого решения много преимуществ.,Nie widzę w tym żadnej korzyści.,Я не вижу в этом никакой пользы.
16,16,wpływ,влияние,noun,Ta decyzja ma wpływ na nasze życie.,Это решение влияет на нашу жизнь.,Stres ma duży wpływ na zdrowie.,Стресс сильно влияет на здоровье.
17,17,zachowanie,поведение,noun,Jego zachowanie było nieodpowiednie.,Его поведение было неподходящим.,Dzieci często zmieniają zachowanie w nowym miejscu.,Дети часто меняют поведение в новом месте.
18,18,stosunek,отношение,noun,Mam pozytywny stosunek do tej zmiany.,У меня положительное отношение к этому изменению.,Jego stosunek do pracy jest bardzo odpowiedzialny.,Его отношение к работе очень ответственное.
19,19,kontaktować się,связываться,verb,Proszę kontaktować się z nami mailowo.,"Пожалуйста, связывайтесь с нами по электронной почте.",Muszę skontaktować się z lekarzem.,Мне нужно связаться с врачом.
20,20,uzyskać,"получить, добиться",verb,Chcę uzyskać więcej informacji.,Я хочу получить больше информации.,Udało mi się uzyskać zgodę.,Мне удалось получить согласие.
21,21,przeprowadzić,провести,verb,Przeprowadziliśmy analizę wyników za ostatni miesiąc.,Мы провели анализ результатов за последний месяц.,Firma przeprowadziła szkolenie dla nowych pracowników.,Компания провела обучение для новых сотрудников.
22,22,rozwiązanie,решение,noun,To rozwiązanie pozwoli zaoszczędzić dużo czasu.,Это решение позволит сэкономить много времени.,Szukamy najlepszego rozwiązania tego problemu.,Мы ищем лучшее решение этой проблемы.
23,23,ograniczenie,ограничение,noun,Nowe ograniczenia weszły w życie od poniedziałku.,Новые ограничения вступили в силу с понедельника.,Każdy system ma swoje ograniczenia.,У каждой системы есть свои ограничения.
24,24,okoliczność,обстоятельство,noun,W tych okolicznościach trudno było podjąć decyzję.,В этих обстоятельствах было трудно принять решение.,Musimy wziąć pod uwagę wszystkie okoliczności.,Мы должны учесть все обстоятельства.
25,25,wydarzenie,событие,noun,To było ważne wydarzenie dla całej firmy.,Это было важное событие для всей компании.,W weekend odbędzie się duże wydarzenie kulturalne.,На выходных состоится крупное культурное событие.
26,26,perspektywa,перспектива,noun,Z mojej perspektywy to dobra decyzja.,С моей точки зрения это хорошее решение.,Praca w tej firmie daje ciekawe perspektywy rozwoju.,Работа в этой компании даёт интересные перспективы развития.
27,27,działalność,деятельность,noun,Firma rozpoczęła działalność w 2018 roku.,Компания начала деятельность в 2018 году.,Prowadzenie działalności wymaga dużej odpowiedzialności.,Ведение деятельности требует большой ответственности.
28,28,przedsiębiorstwo,предприятие,noun,To przedsiębiorstwo zatrudnia ponad tysiąc osób.,Это предприятие нанимает более тысячи человек.,Przedsiębiorstwo planuje dalszy rozwój.,Предприятие планирует дальнейшее развитие.
29,29,instytucja,учреждение,noun,Ta instytucja zajmuje się pomocą cudzoziemcom.,Это учреждение занимается помощью иностранцам.,Musisz dostarczyć dokumenty do odpowiedniej instytucji.,Ты должен предоставить документы в соответствующее учреждение.
30,30,procedura,процедура,noun,Procedura uzyskania pozwolenia może potrwać kilka miesięcy.,Процедура получения разрешения может занять несколько месяцев.,Pracownicy muszą przestrzegać obowiązujących procedur.,Сотрудники должны соблюдать действующие процедуры.
31,31,szczegół,деталь,noun,Musimy omówić wszystkie szczegóły projektu.,Мы должны обсудить все детали проекта.,Nie pamiętam tego szczegółu.,Я не помню этой детали.
32,32,podpis,подпись,noun,Proszę złożyć podpis na ostatniej stronie.,"Пожалуйста, поставьте подпись на последней странице.",Bez podpisu dokument jest nieważny.,Без подписи документ недействителен.
33,33,zgoda,согласие,noun,Potrzebuję twojej zgody.,Мне нужно твоё согласие.,Rodzice wyrazili zgodę na wyjazd.,Родители дали согласие на поездку.
34,34,odmowa,отказ,noun,Otrzymałem odmowę wydania dokumentu.,Я получил отказ в выдаче документа.,Nie spodziewałem się takiej odmowy.,Я не ожидал такого отказа.
35,35,wymaganie,требование,noun,To podstawowe wymaganie tego stanowiska.,Это базовое требование этой должности.,Musimy spełnić wszystkie wymagania.,Мы должны выполнить все требования.
36,36,oczekiwanie,ожидание,noun,Czas oczekiwania wynosi około miesiąca.,Срок ожидания составляет около месяца.,Nasze oczekiwania były wyższe.,Наши ожидания были выше.
37,37,uczestnik,участник,noun,Każdy uczestnik otrzyma certyfikat.,Каждый участник получит сертификат.,W spotkaniu było dwudziestu uczestników.,На встрече было двадцать участников.
38,38,współpraca,сотрудничество,noun,Nasza współpraca układa się bardzo dobrze.,Наше сотрудничество складывается очень хорошо.,Firma szuka partnerów do współpracy.,Компания ищет партнёров для сотрудничества.
39,39,konkurencja,конкуренция,noun,Konkurencja na rynku jest duża.,Конкуренция на рынке высокая.,Musimy obserwować działania konkurencji.,Мы должны следить за действиями конкурентов.
40,40,rozwój,развитие,noun,Rozwój firmy przebiega zgodnie z planem.,Развитие компании идёт по плану.,Inwestujemy w rozwój pracowników.,Мы инвестируем в развитие сотрудников.
41,41,postęp,прогресс,noun,Widać duży postęp w nauce języka.,В изучении языка виден большой прогресс.,Projekt robi postępy każdego tygodnia.,Проект продвигается каждую неделю.
42,42,wartość,ценность,noun,Najważniejszą wartością jest zaufanie.,Самая важная ценность — доверие.,Wartość mieszkania wzrosła.,Стоимость квартиры выросла.
43,43,cel,цель,noun,Moim celem jest płynna znajomość polskiego.,Моя цель — свободное владение польским.,Musimy określić główny cel projektu.,Мы должны определить главную цель проекта.
44,44,analiza,анализ,noun,Analiza danych zajęła kilka dni.,Анализ данных занял несколько дней.,Przygotowujemy analizę rynku.,Мы готовим анализ рынка.
45,45,decyzja,решение,noun,To była trudna decyzja.,Это было трудное решение.,Czekamy na decyzję urzędu.,Мы ждём решения учреждения.
46,46,wynik,результат,noun,Wynik egzaminu był bardzo dobry.,Результат экзамена был очень хорошим.,Jesteśmy zadowoleni z wyników pracy.,Мы довольны результатами работы.
47,47,ocena,оценка,noun,Uczeń otrzymał wysoką ocenę.,Ученик получил высокую оценку.,Twoja ocena sytuacji jest trafna.,Твоя оценка ситуации точна.
48,48,argument,аргумент,noun,To mocny argument za zmianą.,Это сильный аргумент в пользу изменений.,Nie zgadzam się z tym argumentem.,Я не согласен с этим аргументом.
49,49,dowód,доказательство,noun,Potrzebujemy dowodu na potwierdzenie tej informacji.,Нам нужно доказательство для подтверждения этой информации.,Policja znalazła ważny dowód.,Полиция нашла важное доказательство.
50,50,propozycja,предложение,noun,Mam ciekawą propozycję.,У меня есть интересное предложение.,Rozważymy wszystkie propozycje.,Мы рассмотрим все предложения.
51,51,udział,участие,noun,Wzięliśmy udział w ważnym spotkaniu.,Мы приняли участие в важной встрече.,Udział w kursie jest bezpłatny.,Участие в курсе бесплатное.
52,52,przepis,"правило, норма",noun,Musimy przestrzegać nowych przepisów.,Мы должны соблюдать новые правила.,Ten przepis dotyczy wszystkich pracowników.,Эта норма касается всех сотрудников.
53,53,przestrzegać,соблюдать,verb,Pracownicy muszą przestrzegać procedur bezpieczeństwa.,Сотрудники должны соблюдать процедуры безопасности.,"Ważne jest, żeby przestrzegać terminów.",Важно соблюдать сроки.
54,54,udowodnić,доказать,verb,Muszę udowodnić swoje doświadczenie zawodowe.,Я должен доказать свой профессиональный опыт.,Trudno udowodnić to bez dokumentów.,Трудно доказать это без документов.
